"ORDER_ID","TRACKING_ID","CUSTOMER_ID"
"730323994",NULL,"732105072"
"517323323","72882688","967877473"
"803625079","181774536","250436871"
"569243069","467047875","475303155"
"285792612","731782525","46915378"
"842808198","877102223","669836963"
"843032056","898509682","237527210"
"237660316","66891394","168561500"
"216403291","612197850","805657948"
"831647608","759476233","827833373"
"790208205","325860489","250388988"
"525150310","715112860","642453697"
"495165814","634640728","642453697"
"297550044","725388160","340857056"
"361212733","542989985","340857056"
"968168354","248115836","923206716"
"485757023","211423396","195804772"
"80770434","197432157","195804772"
"145641619","854383445","284124453"
"699033686","657443310","284124453"
"724840705","955975326","670999338"
"764880215","656536804","732457355"
"470160495","470735195","482010471"
"659556968","478053351","11784062"
"392995075","25148473","842911504"
"904861079","362902691","842911504"
"869498639","276415240","174353334"
"886258328","494900685","16519328"
"471422230","468821228","102168497"
"871741081","477424854","638832195"
"115511225","378511186","638832195"
"41907650","481818219","862754750"
"194777880","554357638","594410762"
"874495080","475451332","821050317"
"253346086","699006276","56550396"
"331724613","477923561","248768997"
"290962654","869531424","583093682"
"112678447","361110744","476580328"
"496969294","629527507","35381510"
"367600555","330704956","984308851"
"289365736","167606025","910575452"
"917623012","69394353","747172306"
"86904554","265278081","471924510"
"836320321","841858776","390756324"
"587193535","564716982","108169402"
"261653714","687046848","856060449"
"668559538","604069741","669675680"
"258800442","531921214","22667196"
"72882597","440445989","968760233"
"487374728","663464702","109528004"
"118307047","838815549","897089879"
"913533778","966598392","922655548"
"292526509","33105492","41408839"
"614921679","905882027","383188191"
"820779200","431660135","211316687"
"39418676","260473924","213155386"
"685498864","577955296","508873515"
"372743935","984334706","12565797"
"15036688","16451855","915805701"
"438482203","353171917","784469137"
"656444148","575715730","162868165"
"238097194","537782117","253405550"
"630536970","478664754","566543361"
"330836182","138480281","773179383"
"900363739","280964202","679090671"
"126866784","69686579","697671084"
"239267028","50177107","688348177"
"720406491","559113469","774361496"
"881750877","198893310","18197404"
"327846143","342049878","690978991"
"793280953","400735761","188091198"
"857063156","504742274","750129709"
"774661319","689604054","905960181"
"736906271","119013188","761734322"
"959699415","269097610","381469933"
"625978480","386084363","216303420"
"566646682","835938601","156643031"
"152405732","267634582","96770292"
"704287592","702830073","947363843"
"497043901","121424277","421594158"
"50187437","153835200","174370171"
"610076101","103289572","384976291"
"227527525","70079934","154751717"
"516459625","153286408","931640866"
"54805316","145506117","215666891"
"598098432","591772678","705782722"
"362180125","832030483","705782722"
"399530251","232879966","968784981"
"78579925","715920483","619066705"
"859040822","834281138","95901199"
"358884247","318218546","880028256"
"345478474","399016511","813352325"
"351065766","855392834","155578902"
"638165107","677094564","366691845"
"887234812","323837866","801594036"
"210938100","917398837","167381100"
"911669498","734531704","326539644"
"810841564","805970956","698008734"
"325765202","839319043","744332410"
"592238015","938226435","65353841"
"552765889","790592298","306430104"
"750514197","10939048","125051001"
"55815891","964280799","121742734"
"689537925","676240489","332178570"
"539886502","719113848","268495886"
"302118201","791576650","432310963"
"418245385","604116948","13369947"
"692043849","749524575","766454262"
"715134226","958563687","573045567"
"11574488","310297557","573045567"
"529272664","892584644","787333271"
"283370983","274819922","155267694"
"255773563","269143678","873991274"
"33885376","929182112","27365576"
"178371100","631635743","2364755"
"296349811","3665173","919965071"
"806867924","14067295","370095158"
"99330959","96957873","716029631"
"190092478","896434806","496588663"
"487950400","390423213","176350830"
"127831194","414083328","705928848"
"144153946","183859947","361731086"
"863994989","643902307","556522121"
"689679403","898639415","647429498"
"384903044","999689760","732578385"
"804447681","213183760","922443656"
"240176940","844610529","639512601"
"413777543","918886342","155910438"
"944428444","111981598","400824171"
"523911788","876942851","176930229"
"897066582","196295431","790297359"
"534762270","193176967","942365424"
"286665403","488753750","966187597"
"442822783","273998646","966187597"
"115475935","55625991","437268744"
"413924479","835196202","402011155"
"209966859","861563169","710927216"
"903349130","892343600","360169554"
"464289266","942569798","19510530"
"213147533","79111596","864692942"
"197963657","949647621","560859590"
"8465364","699360336","694567609"
"428256909","220033469","400017440"
"704165737","433815140","698635685"
"812170114","131558992","266666955"
"977619370","930736722","849571660"
"825186554","238507745","950818624"
"427631726","295800605","526765986"
"832268369","813786561","823449934"
"120504780","305314690","810338138"
"688739952","683976527","587298880"
"532677764","954956082","68771814"
"219276391","461840766","667051704"
"112440991","986314065","401838406"
"132177875","764716383","632838977"
"701252262","487798609","852471946"
"785952483","842390072","790111781"
"555050185","262558872","642470527"
"188757727","479319010","168726853"
"798229853","300248840","512895147"
"352339888","704740174","983753643"
"19267550","3231877","30272597"
"12874377","602893841","360119115"
"866482350","421157276","388148917"
"106827762","383003170","869850272"
"536140962","607502635","621520475"
"552853352","629069817","343398072"
"716927003","963347984","703139138"
"879420768","815343565","881243229"
"830896426","240016254","405242488"
"75919055","988133644","382861541"
"242461541","600487493","502451031"
"519151922","14739180","313509159"
"225453833","414533602","842112160"
"943050048","782405462","248222141"
"917324362","895066864","811641446"
"92620967","427916665","504000285"
"152093861","442955908","309500476"
"259384732","646747099","860662739"
"225275142","980148326","720300644"
"924705255","423244879","791926245"
"58008754","613834733","71919223"
"782736486","464914218","847949543"
"849447482","49772542","700336505"
"273213137","132109191","713848168"
"692987303","694415228","417556367"
"11773938","451759919","682747945"
"185681209","756646864","346317621"
"870865101","765804350","163661314"
"304124779","216462617","205230251"
"571185970","580380788","658114324"
"678559525","790265787","366445972"
"362655147","784475326","758709665"
"852900024","593658300","758709665"
"269767986","2995905","621504711"
"200110307","662636328","446041799"
"306439934","955382910","154769154"
"793359233","945889572","475945394"
"441310144","388052624","344441320"
"890222840","118224713","851699451"
"886581541","397176426","321493430"
"14971579","990111818","570998027"
"68786369","654125845","40242213"
"79169869","900092105","176899277"
"493802644","186332084","829403142"
"989682703","700086377","142266306"
"618470963","58241607","105372093"
"57852551","503736255","861902073"
"71818829","180220170","330862229"
"790902826","731259098","547953622"
"696872542","139984025","390124783"
"443568056","495281395","449249441"
"724607637","14713433","327935117"
"795348991","741777328","327935117"
"428717781","734163402","665625184"
"55549824","393054743","434343371"
"871306461","81232560","551899439"
"679263682","646058740","612912421"
"656462293","79042137","390429270"
"385012358","980714331","201635175"
"796089721","568287199","635695054"
"976385418","609712507","479133599"
"434505650","796764163","445088655"
"627877079","809004040","821208297"
"451980361","286943239","31009454"
"500726840","829991387","441713752"
"5918225","821874841","841598811"
"386811550","750837892","980317939"
"285437141","821227066","726761857"
"839644555","239922952","375332003"
"177010897","95065839","938569985"
"420263039","401217296","516722364"
"412548191","456377262","556936466"
"677873038","624351063","540289510"
"125088302","380287724","214544594"
"17875319","854111186","689704029"
"506025015","751645705","204833732"
"222656236","883491755","46875843"
"260786591","437983105","346292204"
"695851409","344138769","713179059"
"419215725","780402003","568104368"
"955951323","844549745","568104368"
"936680169","68715322","457102165"
"861784258","352783384","700561073"
"843544485","178796680","76544540"
"948267680","495622500","962212973"
"377071359","778456864","463512179"
"697734254","841654237","463512179"
"813614217","928756671","409171317"
"318426177","963209393","520645891"
"358305501","425618916","654773091"
"285545380","223320293","890922815"
"542253675","109914883","890922815"
"572523194","828178351","691589071"
"450892212","335869730","30053551"
"246875467","44308441","47311038"
"571284347","5584092","984480644"
"447728353","838823025","132966696"
"416579166","644307623","132966696"
"26694387","763789836","95201500"
"664216596","238318166","887823606"
"543364668","444870896","300436871"
"783162349","291597012","897043784"
"161191950","330114843","862622965"
"716907095","836552364","724956648"
"59078236","368924122","617941433"
"83214823","910486447","661536912"
"484317284","885738065","542944495"
"474473704","92440627","470332822"
"982887387","80340780","477812058"
"567741760","703042294","871059709"
"731159905","843255304","710654787"
"738693912","542954700","232549620"
"742101147","472248975","10528600"
"359357015","496372443","166137209"
"130198023","528219496","469808955"
